204|Million Dollar Baby|2004|8.1|506869
205|The Nights of Cabiria|1957|8.1|28025
206|Amores Perros|2000|8.1|181182
207|Jurassic Park|1993|8.1|650793
208|The Princess Bride|1987|8.1|308048
209|Memories of Murder|2003|8.1|73598
210|Hachi: A Dog's Tale|2009|8.1|171828
211|Stalker|1979|8.1|73255
212|Nausicaä of the Valley of the Wind|1984|8.1|102736
213|The Truman Show|1998|8.1|706266
214|Before Sunrise|1995|8.0|195427
215|The Grapes of Wrath|1940|8.0|66533
216|Touch of Evil|1958|8.0|76454
217|Annie Hall|1977|8.0|203811
218|Rocky|1976|8.0|397990
219|Harry Potter and the Deathly Hallows: Part 2|2011|8.0|577783
220|Gandhi|1982|8.0|180064
221|Diabolique|1955|8.0|44474
222|Donnie Darko|2001|8.0|609274
223|The Bourne Ultimatum|2007|8.0|517632
224|Prisoners|2013|8.0|418580
225|Monsters Inc.|2001|8.0|621185
226|Drishyam|2015|8.0|37199
227|8½|1963|8.0|82637
228|The Terminator|1984|8.0|630011
229|Catch Me If You Can|2002|8.0|570686
230|The Wizard of Oz|1939|8.0|305100
231|Groundhog Day|1993|8.0|462640
232|The Message|1976|8.0|34762
233|Twelve Monkeys|1995|8.0|482986
234|La Haine|1995|8.0|109852
235|Barry Lyndon|1975|8.0|107260
236|Jaws|1975|8.0|434268
237|Arrival|2016|8.0|260500
238|Infernal Affairs|2002|8.0|96063
239|The Best Years of Our Lives|1946|8.0|42317
240|Zootopia|2016|8.0|271928
241|The Battle of Algiers|1966|8.0|39878
242|Dog Day Afternoon|1975|8.0|190765
243|Strangers on a Train|1951|8.0|101631
244|The Help|2011|8.0|335969
245|Gangs of Wasseypur|2012|8.0|51196
246|Sin City|2005|8.0|679701
247|Lagaan: Once Upon a Time in India|2001|8.0|78069
248|Pirates of the Caribbean: The Curse of the Black Pearl|2003|8.0|845924
249|The Imitation Game|2014|8.0|520635
250|Song of the Sea|2014|8.0|31411

